analysis,model,train_sheets,test_sheet,accuracy
single_sheet_train,Random Forest,ALL1,ALL2,0.5083333333333333
single_sheet_train,Ridge Classifier,ALL1,ALL2,0.3333333333333333
single_sheet_train,Logistic Regression,ALL1,ALL2,0.375
single_sheet_train,Random Forest,ALL1,ALL3,0.5083333333333333
single_sheet_train,Ridge Classifier,ALL1,ALL3,0.3416666666666667
single_sheet_train,Logistic Regression,ALL1,ALL3,0.45
single_sheet_train,Random Forest,ALL2,ALL1,0.5833333333333334
single_sheet_train,Ridge Classifier,ALL2,ALL1,0.43333333333333335
single_sheet_train,Logistic Regression,ALL2,ALL1,0.6416666666666667
single_sheet_train,Random Forest,ALL2,ALL3,0.8583333333333333
single_sheet_train,Ridge Classifier,ALL2,ALL3,0.625
single_sheet_train,Logistic Regression,ALL2,ALL3,0.8416666666666667
single_sheet_train,Random Forest,ALL3,ALL1,0.6083333333333333
single_sheet_train,Ridge Classifier,ALL3,ALL1,0.48333333333333334
single_sheet_train,Logistic Regression,ALL3,ALL1,0.5583333333333333
single_sheet_train,Random Forest,ALL3,ALL2,0.875
single_sheet_train,Ridge Classifier,ALL3,ALL2,0.625
single_sheet_train,Logistic Regression,ALL3,ALL2,0.85
two_sheet_train,Random Forest,ALL1 + ALL2,ALL3,0.85
two_sheet_train,Ridge Classifier,ALL1 + ALL2,ALL3,0.6916666666666667
two_sheet_train,Logistic Regression,ALL1 + ALL2,ALL3,0.7916666666666666
two_sheet_train,Random Forest,ALL1 + ALL3,ALL2,0.8916666666666667
two_sheet_train,Ridge Classifier,ALL1 + ALL3,ALL2,0.5833333333333334
two_sheet_train,Logistic Regression,ALL1 + ALL3,ALL2,0.6833333333333333
two_sheet_train,Random Forest,ALL2 + ALL3,ALL1,0.6416666666666667
two_sheet_train,Ridge Classifier,ALL2 + ALL3,ALL1,0.475
two_sheet_train,Logistic Regression,ALL2 + ALL3,ALL1,0.5916666666666667
